Used,Type,Name,PV,Tag,Desc
X,Bool,Fault_Exists,BL:$(xx)$(yy):FAULT_EXISTS,Fault_Exists,Any Fault Exists
X,Bool,Communications_Fault,BL:$(xx)$(yy):COMMUNICATIONS_FAULT,Communications_Fault,1 Communications Fault
X,Bool,Flow1_Over_Range,BL:$(xx)$(yy):FLOW1_OVER_RANGE,Flow1.Over_Range_Fault,11 Flow 1 Over Range Fault
X,Bool,Flow2_Over_Range,BL:$(xx)$(yy):FLOW2_OVER_RANGE,Flow2.Over_Range_Fault,12 Flow 2 Over Range Fault
X,Bool,Flow3_Over_Range,BL:$(xx)$(yy):FLOW3_OVER_RANGE,Flow3.Over_Range_Fault,13 Flow 3 Over Range Fault
X,Bool,Flow4_Over_Range,BL:$(xx)$(yy):FLOW4_OVER_RANGE,Flow4.Over_Range_Fault,14 Flow 4 Over Range Fault
X,Bool,Flow5_Over_Range,BL:$(xx)$(yy):FLOW5_OVER_RANGE,Flow5.Over_Range_Fault,15 Flow 5 Over Range Fault
,Bool,Flow6_Over_Range,BL:$(xx)$(yy):FLOW6_OVER_RANGE,Flow6.Over_Range_Fault,16 Flow 6 Over Range Fault
,Bool,Flow7_Over_Range,BL:$(xx)$(yy):FLOW7_OVER_RANGE,Flow7.Over_Range_Fault,17 Flow 7 Over Range Fault
,Bool,Flow8_Over_Range,BL:$(xx)$(yy):FLOW8_OVER_RANGE,Flow8.Over_Range_Fault,18 Flow 8 Over Range Fault
,Bool,Flow9_Over_Range,BL:$(xx)$(yy):FLOW9_OVER_RANGE,Flow9.Over_Range_Fault,19 Flow 9 Over Range Fault
,Bool,Flow10_Over_Range,BL:$(xx)$(yy):FLOW10_OVER_RANGE,Flow10.Over_Range_Fault,20 Flow 10 Over Range Fault
,Bool,Flow11_Over_Range,BL:$(xx)$(yy):FLOW11_OVER_RANGE,Flow11.Over_Range_Fault,21 Flow 11 Over Range Fault
,Bool,Flow12_Over_Range,BL:$(xx)$(yy):FLOW12_OVER_RANGE,Flow12.Over_Range_Fault,22 Flow 12 Over Range Fault
